Date,Open,High,Low,Settle,Volume,Open Interest
2011-02-23,1314.0,1320.5,1297.5,,3075485.0,2910101.0
2011-02-22,1328.5,1334.5,1310.25,,3257861.0,2898256.0
2011-02-21,1342.25,1342.5,1329.0,,1516091.0,2854700.0
2011-02-18,1337.75,1343.0,1335.0,,1516091.0,2863417.0
2011-02-17,1333.0,1340.0,1328.5,,1677669.0,2849648.0
2011-02-16,1326.25,1336.0,1325.75,,1801087.0,2845287.0
2011-02-15,1328.0,1329.25,1322.25,,1457415.0,2814250.0
2011-02-14,1326.0,1331.25,1324.5,,1171814.0,2809512.0
2011-02-11,1318.25,1328.75,1310.0,,1881031.0,2799214.0
2011-02-10,1318.5,1320.5,1308.5,,2055532.0,2799077.0
2011-02-09,1321.5,1322.0,1311.75,,1825859.0,2780883.0
2011-02-08,1315.0,1322.25,1313.0,,1453914.0,2754984.0
2011-02-07,1307.25,1320.0,1306.0,,1501112.0,2730158.0
2011-02-04,1303.25,1308.5,1298.0,,1585618.0,2706640.0
2011-02-03,1300.25,1305.75,1291.5,,1828391.0,2692805.0
2011-02-02,1302.25,1305.5,1298.0,,1396167.0,2714368.0
2011-02-01,1282.5,1306.0,1281.25,,2089240.0,2690241.0
2011-01-31,1269.5,1283.75,1262.25,,2314420.0,2666224.0
2011-01-28,1295.25,1299.5,1270.5,,3238629.0,2694729.0
2011-01-27,1293.75,1298.25,1289.25,,1554851.0,2634255.0
2011-01-26,1287.25,1296.75,1286.0,,1609255.0,2646887.0
2011-01-25,1288.5,1291.75,1277.0,,2360267.0,2635938.0
2011-01-24,1279.5,1289.75,1277.75,,1635794.0,2634978.0
2011-01-21,1276.0,1288.0,1273.25,,2012431.0,2594871.0
2011-01-20,1279.25,1281.5,1267.5,,2534106.0,2614326.0
2011-01-19,1294.5,1296.25,1275.0,,2322868.0,2586802.0
2011-01-18,1285.5,1295.0,1284.0,,1673094.0,2563543.0
2011-01-17,1289.5,1291.5,1282.75,,1631162.0,2527355.0
2011-01-14,1281.25,1290.0,1274.25,,1631162.0,2530027.0
2011-01-13,1283.25,1284.5,1276.25,,1671242.0,2531081.0
2011-01-12,1270.0,1284.25,1269.25,,1604117.0,2557791.0
2011-01-11,1265.5,1273.75,1264.0,,1662412.0,2527804.0
2011-01-10,1266.25,1268.0,1258.0,,1876415.0,2507962.0
2011-01-07,1269.75,1274.0,1257.75,,2175596.0,2505895.0
2011-01-06,1271.75,1277.0,1266.25,,1614397.0,2495267.0
2011-01-05,1265.5,1273.75,1255.75,,1797267.0,2510775.0
2011-01-04,1264.75,1270.0,1258.25,,1778621.0,2495528.0
2011-01-03,1256.0,1272.5,1255.25,,1591034.0,2500721.0
2010-12-31,1254.25,1257.75,1249.5,,667046.0,2478376.0
2010-12-30,1255.75,1257.5,1251.5,,713588.0,2469321.0
2010-12-29,1254.0,1258.5,1253.25,,588441.0,2475165.0
2010-12-28,1253.5,1256.5,1251.5,,553798.0,2477060.0
2010-12-27,1249.5,1254.25,1245.5,,587701.0,2458879.0
2010-12-23,1254.5,1255.75,1249.25,,594048.0,2437477.0
2010-12-22,1250.0,1255.0,1249.0,,664281.0,2433418.0
2010-12-21,1241.0,1251.25,1240.75,,943293.0,2433418.0
2010-12-20,1240.0,1245.75,1234.0,,1145804.0,2422001.0
2010-12-17,1243.25,1245.0,1240.75,,19703.0,1158352.0
2010-12-16,1237.0,1244.5,1232.5,,123099.0,1177387.0
2010-12-15,1242.0,1244.25,1234.0,,533898.0,1177387.0
2010-12-14,1240.75,1247.25,1237.75,,662944.0,1397989.0
2010-12-13,1242.0,1247.0,1236.75,,682650.0,1674400.0
2010-12-10,1232.75,1241.5,1231.5,,893224.0,1895370.0
2010-12-09,1228.5,1238.0,1226.5,,1388754.0,2206219.0
2010-12-08,1222.75,1229.25,1217.25,,2142544.0,2518842.0
2010-12-07,1222.75,1235.0,1219.0,,2449523.0,2743781.0
2010-12-06,1223.25,1226.75,1216.25,,1326050.0,2803507.0
2010-12-03,1222.75,1227.25,1213.0,,1890658.0,2855263.0
2010-12-02,1204.0,1223.25,1202.0,,2037342.0,2845193.0
2010-12-01,1177.75,1207.75,1176.25,,2346276.0,2827756.0
2010-11-30,1186.5,1188.25,1173.0,,3089404.0,2792037.0
2010-11-29,1188.5,1193.75,1172.25,,2491942.0,2771661.0
2010-11-26,1199.0,1199.5,1182.5,,963332.0,2773708.0
2010-11-25,1195.75,1200.5,1192.75,,1821455.0,2782893.0
2010-11-24,1178.0,1197.5,1175.5,,1818843.0,2778957.0
2010-11-23,1197.0,1197.75,1174.75,,2456997.0,2778957.0
2010-11-22,1202.75,1206.0,1182.5,,2212329.0,2773910.0
2010-11-19,1197.5,1200.0,1187.5,,1733603.0,2794626.0
2010-11-18,1177.75,1199.0,1177.0,,2067180.0,2808354.0
2010-11-17,1175.75,1182.0,1173.25,,2021219.0,2779026.0
2010-11-16,1195.25,1195.25,1171.0,,3168883.0,2831177.0
2010-11-15,1195.5,1205.75,1192.5,,2071297.0,2830041.0
2010-11-12,1210.5,1211.75,1191.5,,2766115.0,2812753.0
2010-11-11,1213.5,1213.75,1202.0,,1775665.0,2806244.0
2010-11-10,1210.5,1217.0,1201.75,,2483583.0,2797314.0
2010-11-09,1219.25,1224.75,1206.25,,2324133.0,2778956.0
2010-11-08,1220.5,1222.25,1214.75,,1542756.0,2809190.0
2010-11-05,1218.25,1224.5,1212.5,,2301698.0,2735053.0
2010-11-04,1197.5,1218.75,1195.25,,2301698.0,2748912.0
2010-11-03,1192.75,1198.0,1179.5,,2361808.0,2683550.0
2010-11-02,1182.75,1193.5,1180.75,,1573659.0,2694988.0
2010-11-01,1180.5,1192.75,1173.75,,2032082.0,2670465.0
2010-10-29,1179.25,1182.5,1172.0,,1751544.0,2671762.0
2010-10-28,1178.5,1187.5,1173.5,,2014979.0,2668557.0
2010-10-27,1183.25,1186.25,1167.75,,2246880.0,2690222.0
2010-10-26,1182.0,1184.25,1174.0,,1743843.0,2686156.0
2010-10-25,1180.75,1193.0,1180.5,,1752840.0,2679509.0
